name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
I90,3638864420927705276,5000,10,10,88136,1464ms
I90,3638864420927705276,5000,10,50,89905,7927ms
I90,3638864420927705276,5000,50,10,90686,1456ms
I90,3638864420927705276,5000,50,50,89404,7992ms
I90,14300757574366304117,5000,10,10,88249,1393ms
I90,14300757574366304117,5000,10,50,90129,7852ms
I90,14300757574366304117,5000,50,10,87489,1406ms
I90,14300757574366304117,5000,50,50,90557,7890ms
I90,3638864420927705276,20000,10,10,119696,5221ms
I90,3638864420927705276,20000,10,50,103166,25822ms
I90,3638864420927705276,20000,50,10,118252,5282ms
I90,3638864420927705276,20000,50,50,103298,26268ms
I90,14300757574366304117,20000,10,10,116077,5131ms
I90,14300757574366304117,20000,10,50,102070,26069ms
I90,14300757574366304117,20000,50,10,117881,5171ms
I90,14300757574366304117,20000,50,50,100810,25916ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
HB,11964225498810090948,5000,10,10,12029,767ms
HB,11964225498810090948,5000,10,50,11683,4116ms
HB,11964225498810090948,5000,50,10,12029,769ms
HB,11964225498810090948,5000,50,50,11598,4122ms
HB,9268032990178971186,5000,10,10,12265,789ms
HB,9268032990178971186,5000,10,50,11816,4238ms
HB,9268032990178971186,5000,50,10,12265,789ms
HB,9268032990178971186,5000,50,50,11816,4306ms
HB,11964225498810090948,20000,10,10,15775,3182ms
HB,11964225498810090948,20000,10,50,13368,16769ms
HB,11964225498810090948,20000,50,10,15775,3180ms
HB,11964225498810090948,20000,50,50,14182,16816ms
HB,9268032990178971186,20000,10,10,14968,3255ms
HB,9268032990178971186,20000,10,50,14533,16984ms
HB,9268032990178971186,20000,50,10,14968,3265ms
HB,9268032990178971186,20000,50,50,14449,17027ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
U100,10323943386210809768,5000,10,10,23761,251ms
U100,10323943386210809768,5000,10,50,20442,1133ms
U100,10323943386210809768,5000,50,10,24369,249ms
U100,10323943386210809768,5000,50,50,20395,1148ms
U100,6574841571457653793,5000,10,10,24109,243ms
U100,6574841571457653793,5000,10,50,20372,1143ms
U100,6574841571457653793,5000,50,10,24565,241ms
U100,6574841571457653793,5000,50,50,20482,1149ms
U100,10323943386210809768,20000,10,10,25287,864ms
U100,10323943386210809768,20000,10,50,20901,3940ms
U100,10323943386210809768,20000,50,10,25569,867ms
U100,10323943386210809768,20000,50,50,21436,4061ms
U100,6574841571457653793,20000,10,10,25053,855ms
U100,6574841571457653793,20000,10,50,21492,3940ms
U100,6574841571457653793,20000,50,10,25496,836ms
U100,6574841571457653793,20000,50,50,20944,3973ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
I100,7145706799621209236,5000,10,10,64196,917ms
I100,7145706799621209236,5000,10,50,58496,4635ms
I100,7145706799621209236,5000,50,10,64834,925ms
I100,7145706799621209236,5000,50,50,59543,4669ms
I100,2523190025850747339,5000,10,10,65385,908ms
I100,2523190025850747339,5000,10,50,58933,4718ms
I100,2523190025850747339,5000,50,10,67457,912ms
I100,2523190025850747339,5000,50,50,58911,4735ms
I100,7145706799621209236,20000,10,10,76844,3427ms
I100,7145706799621209236,20000,10,50,64826,16212ms
I100,7145706799621209236,20000,50,10,77761,3493ms
I100,7145706799621209236,20000,50,50,68066,16608ms
I100,2523190025850747339,20000,10,10,79912,3470ms
I100,2523190025850747339,20000,10,50,66029,16463ms
I100,2523190025850747339,20000,50,10,79286,3482ms
I100,2523190025850747339,20000,50,50,68406,16678ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
I25,17348321203968679272,5000,10,10,75238,946ms
I25,17348321203968679272,5000,10,50,57790,4338ms
I25,17348321203968679272,5000,50,10,73187,954ms
I25,17348321203968679272,5000,50,50,60696,4432ms
I25,15051853909941849143,5000,10,10,68453,918ms
I25,15051853909941849143,5000,10,50,59079,4494ms
I25,15051853909941849143,5000,50,10,68571,914ms
I25,15051853909941849143,5000,50,50,60234,4539ms
I25,17348321203968679272,20000,10,10,83043,3655ms
I25,17348321203968679272,20000,10,50,62629,15067ms
I25,17348321203968679272,20000,50,10,82120,3524ms
I25,17348321203968679272,20000,50,50,65491,15568ms
I25,15051853909941849143,20000,10,10,83070,3410ms
I25,15051853909941849143,20000,10,50,64306,15359ms
I25,15051853909941849143,20000,50,10,82942,3457ms
I25,15051853909941849143,20000,50,50,64432,15514ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
U2,12775490663537597132,5000,10,10,48697,179ms
U2,12775490663537597132,5000,10,50,48770,875ms
U2,12775490663537597132,5000,50,10,48641,181ms
U2,12775490663537597132,5000,50,50,48772,877ms
U2,7141720265447488648,5000,10,10,48690,181ms
U2,7141720265447488648,5000,10,50,48711,871ms
U2,7141720265447488648,5000,50,10,48702,181ms
U2,7141720265447488648,5000,50,50,48717,884ms
U2,12775490663537597132,20000,10,10,48746,580ms
U2,12775490663537597132,20000,10,50,48796,2636ms
U2,12775490663537597132,20000,50,10,48742,586ms
U2,12775490663537597132,20000,50,50,48796,2664ms
U2,7141720265447488648,20000,10,10,48746,583ms
U2,7141720265447488648,20000,10,50,48720,2655ms
U2,7141720265447488648,20000,50,10,48708,587ms
U2,7141720265447488648,20000,50,50,48740,2653ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
I72,520864189679930746,5000,10,10,35640,369ms
I72,520864189679930746,5000,10,50,30712,1808ms
I72,520864189679930746,5000,50,10,36632,372ms
I72,520864189679930746,5000,50,50,31310,1833ms
I72,10623979092642570975,5000,10,10,36865,368ms
I72,10623979092642570975,5000,10,50,28810,1795ms
I72,10623979092642570975,5000,50,10,36619,370ms
I72,10623979092642570975,5000,50,50,30690,1828ms
I72,520864189679930746,20000,10,10,38839,1374ms
I72,520864189679930746,20000,10,50,33195,6469ms
I72,520864189679930746,20000,50,10,38732,1385ms
I72,520864189679930746,20000,50,50,34416,6571ms
I72,10623979092642570975,20000,10,10,38946,1369ms
I72,10623979092642570975,20000,10,50,33688,6491ms
I72,10623979092642570975,20000,50,10,38714,1408ms
I72,10623979092642570975,20000,50,50,33784,6847ms
name,seed,iterations,tabu_list_size,neighborhood_size,total_profit,time
I5,11419464057721810194,5000,10,10,59603,596ms
I5,11419464057721810194,5000,10,50,52785,2838ms
I5,11419464057721810194,5000,50,10,58957,601ms
I5,11419464057721810194,5000,50,50,52498,2886ms
I5,5728559532407167456,5000,10,10,60014,592ms
I5,5728559532407167456,5000,10,50,51633,2819ms
I5,5728559532407167456,5000,50,10,57757,591ms
I5,5728559532407167456,5000,50,50,51621,2808ms
I5,11419464057721810194,20000,10,10,64432,2147ms
I5,11419464057721810194,20000,10,50,53870,9707ms
I5,11419464057721810194,20000,50,10,64702,2166ms
I5,11419464057721810194,20000,50,50,53879,9841ms
I5,5728559532407167456,20000,10,10,64790,2158ms
I5,5728559532407167456,20000,10,50,52556,9574ms
I5,5728559532407167456,20000,50,10,63987,2153ms
I5,5728559532407167456,20000,50,50,52696,9703ms
