I90	iterations	tabu_list_size	neighborhood_size	disable_cost_benefit	disable_slack_fill	total_profit	time
I90	1000	10	5	1	1	49663	252ms
I90	1000	10	10	1	1	55789	480ms
I90	1000	10	30	1	1	67104	1701ms
I90	1000	20	5	1	1	49663	233ms
I90	1000	20	10	1	1	55789	481ms
I90	1000	20	30	1	1	67104	1707ms
I90	1000	50	5	1	1	49663	231ms
I90	1000	50	10	1	1	55789	483ms
I90	1000	50	30	1	1	67104	1707ms
I90	1000	10	5	0	1	49663	229ms
I90	1000	10	10	0	1	55789	481ms
I90	1000	10	30	0	1	67104	1701ms
I90	1000	20	5	0	1	49663	231ms
I90	1000	20	10	0	1	55789	481ms
I90	1000	20	30	0	1	67104	1708ms
I90	1000	50	5	0	1	49663	233ms
I90	1000	50	10	0	1	55789	484ms
I90	1000	50	30	0	1	67104	1707ms
I90	1000	10	5	1	0	49663	226ms
I90	1000	10	10	1	0	55789	482ms
I90	1000	10	30	1	0	67104	1708ms
I90	1000	20	5	1	0	49663	233ms
I90	1000	20	10	1	0	55789	482ms
I90	1000	20	30	1	0	67104	1705ms
I90	1000	50	5	1	0	49663	230ms
I90	1000	50	10	1	0	55789	488ms
I90	1000	50	30	1	0	67104	1710ms
I90	1000	10	5	0	0	49663	230ms
I90	1000	10	10	0	0	55789	483ms
I90	1000	10	30	0	0	67104	1702ms
I90	1000	20	5	0	0	49663	233ms
I90	1000	20	10	0	0	55789	483ms
I90	1000	20	30	0	0	67104	1708ms
I90	1000	50	5	0	0	49663	233ms
I90	1000	50	10	0	0	55789	484ms
I90	1000	50	30	0	0	67104	1711ms
I90	5000	10	5	1	1	78516	688ms
I90	5000	10	10	1	1	92518	1467ms
I90	5000	10	30	1	1	93775	4728ms
I90	5000	20	5	1	1	79614	693ms
I90	5000	20	10	1	1	93125	1457ms
I90	5000	20	30	1	1	95416	4741ms
I90	5000	50	5	1	1	79614	695ms
I90	5000	50	10	1	1	93125	1469ms
I90	5000	50	30	1	1	94213	4766ms
I90	5000	10	5	0	1	78516	686ms
I90	5000	10	10	0	1	92518	1454ms
I90	5000	10	30	0	1	93775	4709ms
I90	5000	20	5	0	1	79614	695ms
I90	5000	20	10	0	1	93125	1460ms
I90	5000	20	30	0	1	95416	4753ms
I90	5000	50	5	0	1	79614	686ms
I90	5000	50	10	0	1	93125	1471ms
I90	5000	50	30	0	1	94213	4766ms
I90	5000	10	5	1	0	78516	685ms
I90	5000	10	10	1	0	92518	1452ms
I90	5000	10	30	1	0	93775	4738ms
I90	5000	20	5	1	0	79614	698ms
I90	5000	20	10	1	0	93125	1470ms
I90	5000	20	30	1	0	95416	4745ms
I90	5000	50	5	1	0	79614	696ms
I90	5000	50	10	1	0	93125	1472ms
I90	5000	50	30	1	0	94213	4760ms
I90	5000	10	5	0	0	78516	685ms
I90	5000	10	10	0	0	92518	1459ms
I90	5000	10	30	0	0	93775	4712ms
I90	5000	20	5	0	0	79614	692ms
I90	5000	20	10	0	0	93125	1469ms
I90	5000	20	30	0	0	95416	4739ms
I90	5000	50	5	0	0	79614	694ms
I90	5000	50	10	0	0	93125	1478ms
I90	5000	50	30	0	0	94213	4765ms
I90	10000	10	5	1	1	97193	1293ms
I90	10000	10	10	1	1	106770	2732ms
I90	10000	10	30	1	1	107101	8517ms
I90	10000	20	5	1	1	97924	1320ms
I90	10000	20	10	1	1	106507	2785ms
I90	10000	20	30	1	1	105468	8616ms
I90	10000	50	5	1	1	97924	1311ms
I90	10000	50	10	1	1	105853	2765ms
I90	10000	50	30	1	1	107252	8696ms
I90	10000	10	5	0	1	97193	1308ms
I90	10000	10	10	0	1	106770	2787ms
I90	10000	10	30	0	1	107101	8586ms
I90	10000	20	5	0	1	97924	1307ms
I90	10000	20	10	0	1	106507	2746ms
I90	10000	20	30	0	1	105468	8590ms
I90	10000	50	5	0	1	97924	1303ms
I90	10000	50	10	0	1	105853	2771ms
I90	10000	50	30	0	1	107252	8656ms
I90	10000	10	5	1	0	97193	1354ms
I90	10000	10	10	1	0	106770	3285ms
I90	10000	10	30	1	0	107101	11388ms
I90	10000	20	5	1	0	97924	1705ms
I90	10000	20	10	1	0	106507	3459ms
I90	10000	20	30	1	0	105468	15186ms
I90	10000	50	5	1	0	97924	2832ms
I90	10000	50	10	1	0	105853	4065ms
I90	10000	50	30	1	0	107252	17598ms
I90	10000	10	5	0	0	97193	1834ms
I90	10000	10	10	0	0	106770	3667ms
I90	10000	10	30	0	0	107101	12452ms
I90	10000	20	5	0	0	97924	1543ms
I90	10000	20	10	0	0	106507	3217ms
I90	10000	20	30	0	0	105468	12257ms
I90	10000	50	5	0	0	97924	2008ms
I90	10000	50	10	0	0	105853	3614ms
